Time,Channel A,Channel B
(s),(V),(mV)

0.51250002,0.40357680,21.77190000
0.51300002,0.40473650,21.77190000
0.51350002,0.40589620,23.73424000
0.51400002,0.40473650,22.63558000
0.51450002,0.40473650,22.29072000
0.51500002,0.40357680,22.58064000
0.51550002,0.40589620,22.40669000
0.51600002,0.40473650,22.34870000
0.51650002,0.40473650,23.84716000
0.51700002,0.40357680,22.52266000
0.51750002,0.40473650,21.71392000
0.51800002,0.40357680,20.78921000
0.51850002,0.40473650,21.13712000
0.51900002,0.40357680,21.65594000
0.51950002,0.40473650,20.90518000
0.52000002,0.40473650,22.69356000
0.52050002,0.40357680,22.40669000
0.52100002,0.40473650,22.58064000
0.52150002,0.40473650,24.94583000
0.52200002,0.40473650,22.63558000
0.52250002,0.40473650,22.80953000
0.52300002,0.40357680,21.53996000
0.52350002,0.40473650,22.29072000
0.52400002,0.40241710,23.15744000
0.52450002,0.40473650,22.92550000
0.52500002,0.40241710,22.11676000
0.52550002,0.40473650,22.46467000
0.52600002,0.40241710,20.50233000
0.52650003,0.40357680,22.92550000
0.52700003,0.40357680,22.92550000
0.52750003,0.40357680,21.36601000
0.52800003,0.40241710,22.80953000
0.52850003,0.40357680,22.11676000
0.52900003,0.40241710,21.94586000
0.52950003,0.40241710,21.88787000
0.53000003,0.40357680,24.65590000
0.53050003,0.40241710,22.86752000
0.53100003,0.40241710,23.79223000
0.53150003,0.40125740,23.90515000
0.53200003,0.40241710,23.67626000
0.53250003,0.40357680,22.40669000
0.53300003,0.40241710,21.94586000
0.53350003,0.40241710,22.40669000
0.53400003,0.40241710,23.73424000
0.53450003,0.40241710,22.34870000
0.53500003,0.40357680,24.13709000
0.53550003,0.40241710,24.36903000
0.53600003,0.40241710,22.92550000
0.53650003,0.40357680,23.21543000
0.53700003,0.40125740,23.27036000
0.53750003,0.40241710,18.48201000
0.53800003,0.40125740,22.86752000
0.53850003,0.40241710,20.90518000
0.53900003,0.40125740,21.42399000
0.53950003,0.40241710,20.04151000
0.54000003,0.40357680,21.36601000
0.54050003,0.40241710,22.58064000
0.54100003,0.40241710,21.59795000
0.54150003,0.40241710,23.84716000
0.54200003,0.40125740,23.04147000
0.54250003,0.40125740,21.36601000
0.54300003,0.40125740,21.77190000
0.54350003,0.40241710,22.75155000
0.54400003,0.40357680,25.23270000
0.54450003,0.40125740,22.11676000
0.54500003,0.40241710,24.77187000
0.54550003,0.40241710,23.38633000
0.54600003,0.40125740,21.07913000
0.54650003,0.40241710,22.75155000
0.54700003,0.40125740,22.75155000
0.54750003,0.40241710,22.63558000
0.54800003,0.40125740,23.44432000
0.54850003,0.40241710,21.88787000
0.54900003,0.40125740,22.23273000
0.54950003,0.40241710,22.58064000
0.55000003,0.40125740,22.23273000
0.55050003,0.40125740,23.50230000
0.55100003,0.40003660,21.77190000
0.55150003,0.40125740,21.53996000
0.55200003,0.40241710,24.13709000
0.55250003,0.40125740,21.65594000
0.55300003,0.40125740,21.13712000
0.55350003,0.40003660,22.46467000
0.55400003,0.40125740,22.05878000
0.55450003,0.40125740,21.07913000
0.55500003,0.39887690,22.80953000
0.55550003,0.40003660,21.48198000
0.55600003,0.40241710,21.88787000
0.55650003,0.40003660,21.59795000
0.55700003,0.40125740,22.00079000
0.55750003,0.40125740,22.00079000
0.55800003,0.40003660,21.25309000
0.55850003,0.40003660,24.53993000
0.55900003,0.40241710,21.02115000
0.55950003,0.40125740,22.63558000
0.56000003,0.40125740,21.48198000
0.56050003,0.40125740,21.13712000
0.56100003,0.40125740,21.53996000
0.56150003,0.40003660,22.34870000
0.56200003,0.40125740,22.11676000
0.56250003,0.40125740,21.82989000
0.56300003,0.40125740,22.05878000
0.56350003,0.40003660,22.63558000
0.56400003,0.40241710,23.27036000
0.56450003,0.40003660,23.21543000
0.56500003,0.40003660,22.05878000
0.56550003,0.40125740,21.88787000
0.56600003,0.40003660,19.86755000
0.56650003,0.40125740,22.52266000
0.56700003,0.39887690,22.05878000
0.56750003,0.40125740,23.44432000
0.56800003,0.40003660,22.40669000
0.56850003,0.40003660,23.56029000
